name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Serie,Serie,STRING,False,,MEDIUM,,"Shaggy 30, Shaggy Soft, VIVA, Jarama, Moritz",,,
Serie Technischer Name,Serie,STRING,False,,MEDIUM,,"MS#000246 Bruno Banani, MS#015483 Home affaire, MS#016976 Home affaire, MS#006394 LUXOR living, MS#007751 Carpet City",,,
Anzahl Florfäden,Produktdetails,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Vintage Teppiche,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"Charakteristisch für den Look von Vintage Teppichen sind abgenutzte und ausgeblichene Stellen, die in vielen Fällen künstlich herbeigeführt werden. Genau dieses Design macht den Charme der Vintage-Teppiche aus.",,,
Maschinell getufteter Teppich,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"Beim Auslegen des Teppichs kann durch das Aufrollen der Teppich etwas wellig erscheinen, dieses legt sich nach kurzer Zeit aus. Sie können dieses etwas beschleunigen wenn Sie den Artikel in gegenläufiger Richtung nochmals aufwickeln.",,,
UV-beständig,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"ja, nein",,,
Outdoor Teppiche,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"Outdoor Teppiche können im geschützten Außenbereich verwendet werden. Bei diesen Teppichen handelt es sich um überaus robuste Teppiche, die wasser - und schmutzabweisend sind. Sie kommen daher auch oft im Eingangsbereich zum Einsatz.",,,
Art des Orientteppichs,Produktdetails,STRING,False,PRODUCT_DETAILS,LOW,,"Berber, Gabbeh, Täbriz, Ziegler, Kelim",,,
Set-Typ,Produktdetails,STRING,False,,LOW,,"Set, Packung, Spar-Set",,,
Antirutschmatten,Qualitätshinweise,STRING,False,PRODUCT_DETAILS,LOW,,Antirutschmatten verhindern das Verrutschen von Teppichen. Dadurch wird das Gefahrenpotential des Ausrutschens vorgebeugt. Gleichzeitig bieten Antirutschmatten eine zusätzliche Dämmung und Isolation.,,,
Anzahl Knoten,Produktdetails,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Hinweis Herstellung,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"Durch die Handarbeit können kleine Abweichungen in der Größe sowie der Musterzeichnung auftreten., Mit feiner Nadeltechnik wird der Faden in Handarbeit eingebracht und anschließend der Untergrund verleimt. In der Optik sind handgetuftete Teppiche kaum von den handgeknüpften zu unterscheiden., In Handarbeit Knoten für Knoten geknüpfte Teppiche sind Einzelstücke. Geringe Abweichungen in Farbe, Dessin und Größe sind möglich und zugleich ein Zeichen der Echtheit.",,,
Motiv,Optik/Stil,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"Ornamente, Blumen, Ornament, Schmetterlinge, Karo",,,
Set-Info,Produktdetails,STRING,False,,LOW,,,,,
Sprachen Pflegezusatzinformation Produkt,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Englisch (EN), Französisch (FR), Italienisch (IT), Norwegisch (NO)",,,
Maschinell gewebter Teppich,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"Beim Auslegen des Teppichs kann durch das Aufrollen der Teppich etwas wellig erscheinen, dieses legt sich nach kurzer Zeit aus. Sie können dieses etwas beschleunigen wenn Sie den Artikel in gegenläufiger Richtung nochmals aufwickeln.",,,
Design Besonderheit,Optik/Stil,STRING,False,PRODUCT_DETAILS,LOW,,"handgearbeiteter Konturenschnitt, Melange-Effekt",,,
Outdoorgeeignet,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"nein, ja",,,
Sprachen Materialzusammensetzung textiler Bestandteile,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Englisch (EN), Französisch (FR), Tschechisch (CS), Polnisch (PL)",,,
Herstelleradresse (EWR) am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt über eine Kennzeichnung mit der Herstelleradresse (EWR), Produkt verfügt nicht über eine Kennzeichnung mit der Herstelleradresse (EWR)",,,
Relevanz Biozidproduktegesetz,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter das Biozidproduktegesetz, Produkt fällt unter das Biozidproduktegesetz",,,
Produktkennzeichnungen,Product Compliance,STRING,True,,LOW,,"Artikelnummer, Kennnummer der Partie, Typennummer, Seriennummer, Rahmennummer",,,
Rutschhemmende Unterlage empfohlen,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"ja, nein",,,
Schmutzabweisend,Pflegehinweis,STRING,False,PRODUCT_DETAILS,LOW,,"ja, nein",,,
Wendeteppich,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"nein, ja",,,
Form,Produktdetails,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"rechteckig, U-förmig, stufenförmig, oval, blumenförmig",,,
Materialzusammensetzung,Produktdetails,STRING,False,"LEGAL, PRODUCT_DETAILS",HIGH,,"Obermaterial: 100% Polypropylen, Obermaterial: 100% Polyester, Obermaterial: 100% Wolle, Obermaterial: 100% Schurwolle, 100% Baumwolle",,,
Anzahl Läufer,Produktdetails,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Anzahl Brücken,Produktdetails,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
